0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
2012,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
901,901,901,901,901,931,901,901,901,901,901,901,901
1201,1201,1201,1221,1201,1201,1201,1201,1201,1201,1201,1201,1201
1001,1001,1001,1001,1001,1001,1001,1001,1001,1071,1001,1001,1041
1101,1151,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101
801,801,801,801,801,801,801,801,861,801,801,801,801
2012,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
901,901,901,901,901,931,901,901,901,901,901,901,901
1201,1201,1201,1221,1201,1201,1201,1201,1201,1201,1201,1201,1201
1001,1001,1001,1001,1001,1001,1001,1001,1001,1071,1001,1001,1041
1101,1151,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101
801,801,801,801,801,801,801,801,861,801,801,801,801
2012,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
901,901,901,901,901,931,901,901,901,901,901,901,901
1201,1201,1201,1221,1201,1201,1201,1201,1201,1201,1201,1201,1201
1001,1001,1001,1001,1001,1001,1001,1001,1001,1071,1001,1001,1041
1101,1151,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101
811,821,831,841,851,861,871,841,871,871,871,871,871
